SMILES,Category
COCOc1cc(COCc2ccccc2)c(Br)c(OCOC)c1.O=CN(C)C,Application_ds
[N+](=O)([O-])[O-].[O-2].[Bi+3].CC(OCC)=O,Application_ds
COC(=O)c1cc(C(=O)OC)cc(N(C)S(C)(=O)=O)c1.CCO,Application_ds
O=C(O)C=1N=C(SC1)CN2C(=O)C=C3C(C(=O)NC34CC4)=C2CCC(NC(=O)C(NC(=O)CCCCCCCCCCCCC)CC(=O)N)C.CC(C)=O,Application_ds
OC1=C2C3C(C)C(C)CCC3(C)CC(O)C2(C)C4(C)CCC5C(C)(C)C(O)CCC5(C)C4C1O.CC1=CC=CC=C1,Application_ds
O=C1C2=C(O)C=C(OC3OC(COC4OCC(O)C(O)C4O)C(O)C(O)C3OC5OC(C)C(O)C(O)C5OC6OC(CO)C(O)C(O)C6O)C=C2OC(C7=CC=C(O)C=C7)C1.CC(C)=O,Application_ds
O=C1CCC2(C)C3CCC4C(CCC4(C)C3(C)CC(O)C2C1(C)C)C(O)(C)CCC=C(C)COC5OC(OC)C(O)C(O)C5O.CC1CCCO1,Application_ds
O=C(O)c1cc(Cl)nc(-c2ccccc2)n1.CCO,Application_ds
COC(=O)C1CC(=O)N(c2ccc(/C=C/c3ccc(OC)cc3)cc2)C1.CCO,Application_ds
CC(C)(C#N)c1nnc(N)s1.CC1=CC=CC=C1,Application_ds
NCc1ccc(C#Cc2ccc(CO)cc2)cc1.N#CC,Application_ds
Cc1nc(C(=O)N2C[C@@H]3CCC[C@@H]3[C@H]2CNC(=O)c2c(C)nc3sccn23)c(-c2ccc(Cl)cc2)s1.CC1CCCO1,Application_ds
CCCN(CCC)C1CCCCC1.O=CN(C)C,Application_ds
CCOC(=O)COc1ccc(C=O)cc1C(F)(F)F.CO,Application_ds
O=C(OC1CC2=C(O)C=3C(=O)C=C(OC3C4=C2OC1(C)C5C=6C(=CCC6CC7=CC(N)NC=C7C5)C8=C(N)NCC=C8C4)CO)C(=CC)CO.CC1CCCO1,Application_ds
Sc1nc(Nc2ccccc2)n[nH]1.CC1CCCO1,Application_ds
CCCCc1n[nH]c(=O)n1Cc1ccc(-c2ccccc2C#N)cc1.CO,Application_ds
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCN2CCC(c3ccccc3)(c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1.O=CN(C)C,Application_ds
COC(=O)CCCCCN(C)CC(=O)OC(C)(C)C.N#CC,Application_ds
CN(CCCc1ccccc1)C(=O)[C@@H](Cc1ccc2ccccc2c1)N(C)C(=O)/C=C/CC(C)(C)NC(=O)OC(C)(C)C.CCO,Application_ds
O=C(C=C(C)CCO)N1OC2(NC(=O)C3(ON(C(=O)C=C(C)CCO)CCC3)NC2=O)CCC1.CCO,Application_ds
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OC(=O)N(CCCl)CCCl)C=C3CC[C@@]21[H].CCO,Application_ds
CC1=CC(=C(C=C1Cl)S(=O)(=O)O)N=NC2=C(C(=CC3=CC=CC=C32)C(=O)O)[O-].CC1=CC(=C(C=C1Cl)S(=O)(=O)O)N=NC2=C(C(=CC3=CC=CC=C32)C(=O)O)[O-].[Ca+2].CO,Application_ds
CC[C@]1(O)CCN(c2ccc(C#N)c(Cl)c2)[C@H]1C(C)C.CC(C)=O,Application_ds
O=C(OCC=1C=CC=CC1)NC(C(=O)OC=2C=C(C=C3OC(=O)C(=C(C32)C)CC=4C=CC=CC4)C)CCSC.CC1=CC=CC=C1,Application_ds
O=C(O)c1ccc(CN2C(=O)C3(COc4cc5c(cc43)CCO5)c3ccccc32)cc1.O=CN(C)C,Application_ds
ClCCCCOc1ccccc1/C=C/c1nc2ccccc2o1.O=CN(C)C,Application_ds
O=C(CCn1ccc2cc(Cl)ccc21)N1CCN(c2ccc(S(=O)(=O)Nc3ccncn3)cc2)CC1.CO,Application_ds
  O=C(CCCl)NS(=O)(=O)NC[C@@H]1CCCN1.N#CC,Application_ds
Fc1ccc(-c2ccc3c(c2)C2(CCCCC2)C(=NOCc2ccccc2)N3)cc1.CO,Application_ds
CCOc1cc(NC(=O)Oc2ccccc2)n(-c2ccccc2)n1.N#CC,Application_ds
COc1cc(F)ccc1-c1cc(Cl)ncn1.CC1=CC=CC=C1,Application_ds
N#CC1=CN=C2C=CC=CC2=C1.O,Application_ds
O=C(NC1CCN2C(=O)C=3C=C(C=CC3NC(=O)C21)C4=CC=C(OC)C=C4OC)C5=NC=CN=C5.CC1=CC=CC=C1,Application_ds
COCCO.CC1=CC=CC=C1,Application_ds
O=C(O)c1ccc(Cc2cc([C@@H]3O[C@H](COCc4ccccc4)[C@@H](OCc4ccccc4)[C@H](OCc4ccccc4)[C@H]3OCc3ccccc3)ccc2Cl)nn1.O=CN(C)C,Application_ds
O=C(NC1=CC=C(C=C1)C(=O)C)C2N(CC=3C=CC=CC3C2)S(=O)(=O)C=4SC=CC4.O,Application_ds
Nc1ccc(O)c2ccccc12.CC1CCCO1,Application_ds
CN(C)c1nc2ccccc2[nH]1.CC(C)=O,Application_ds
Cc1cnc(CNC(=O)c2sc(-n3ccc(OCc4ccccc4)cc3=O)nc2C)cn1.CCO,Application_ds
COC(=O)Cc1ccccc1COc1ccccc1C.N#CC,Application_ds
CCOc1cc(C(C)(C)C)ncc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(C(=O)N2CCOCC2)CC1.CC(C)=O,Application_ds
O=C1OC2=C(O)C(OC)=C(O)C(OC)=C2C=C1.CC1=CC=CC=C1,Application_ds
COc1cc2c(cc1OCCCCl)CCCC2=O.O=CN(C)C,Application_ds
O=C(O)c1cc(NC(=O)C2CCCCC2)ccc1O.O,Application_ds
O=C(O)COC=1C=CC=CC1C2C=3C(OC(=O)C2)=CC=C4C(=O)CC(OC43)(C)C.CCO,Application_ds
Cc1c(CNC2CC2)ccnc1Cl.CC1CCCO1,Application_ds
CC(C)(N)c1cccc(C(F)(F)F)n1.CC(C)=O,Application_ds
CC1=NN(CC(=O)O)C(C)C1.CCO,Application_ds
